id,대분류코드,대분류명,항목,파일명,검색키워드,보유확장자,링크
350,01_하나팩프리미엄,하나팩프리미엄,AS5_유니폼(동계),AS5_유니폼(동계)_CMYK,"동계, 유니폼, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1yh88F4GxMmMCC42JU6KIiymN46wZrsPv?usp=sharing
351,01_하나팩프리미엄,하나팩프리미엄,AS6_넥타이,AS6_넥타이_PANTONE,"넥타이, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1dgGQ3BxZbi5koxvOwGKeucankhbqjYf5?usp=sharing
352,01_하나팩프리미엄,하나팩프리미엄,AS6_넥타이,AS6_넥타이_CMYK,"넥타이, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1dgGQ3BxZbi5koxvOwGKeucankhbqjYf5?usp=sharing
353,01_하나팩프리미엄,하나팩프리미엄,AS7_웨이팅라인,AS7_웨이팅라인_PANTONE,"웨이팅라인, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1MArYNF_3dntQYmy1lbk21Qa3vRR3RVS3?usp=sharing
354,01_하나팩프리미엄,하나팩프리미엄,AS7_웨이팅라인,AS7_웨이팅라인_CMYK,"웨이팅라인, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1MArYNF_3dntQYmy1lbk21Qa3vRR3RVS3?usp=sharing
355,01_하나팩프리미엄,하나팩프리미엄,AS8_디지털사이니지,AS8_디지털사이니지_RGB,"디지털사이니지, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1P0AT4HBmFUNBRQINXu_TVyOtrDAutLfP?usp=sharing
356,02_밍글링투어,밍글링투어,BS1_로고_밍글링투어,BS1_로고_밍글링투어,"로고,밍글링투어",AI(1),https://drive.google.com/drive/folders/1r-PxJ9uGICdFtsf2KF1rtpZcE7aZmY5g?usp=sharing
357,02_밍글링투어,밍글링투어,BS3_슬로건,BS3_슬로건_밍글링투어,"슬로건,밍글링투어",AI(1),https://drive.google.com/drive/folders/1YILSeTqrKdTf8jAOsOEZzGyo7QmaL--R?usp=sharing
357,02_밍글링투어,밍글링투어,BS7_심벌그래픽,BS7_심벌그래픽,"심벌그래픽,밍글링투어",AI(1),https://drive.google.com/drive/folders/1msBY0TtKQ6bGWh6VJZ0R4XDa3blipUyf?usp=sharing
359,02_밍글링투어,밍글링투어,BS9_일러스트레이션,BS9_일러스트레이션,"일러스트레이션,밍글링투어",AI(1),https://drive.google.com/drive/folders/1ER_joc-XAzop77plsdSJREi9z39Xiv1k?usp=sharing
360,03_제우스월드,제우스월드,BS1_로고,BS1_로고_CMYK,"로고, 제우스월드","AI(1), PNG(4)",https://drive.google.com/drive/folders/1fMsurSu9XRqtjf61s08mDf1RDFC2P_tF?usp=sharing
361,03_제우스월드,제우스월드,BS1_로고,BS1_로고_RGB,"로고, 제우스월드","AI(1), PNG(4)",https://drive.google.com/drive/folders/1fMsurSu9XRqtjf61s08mDf1RDFC2P_tF?usp=sharing
362,브랜드규정_통합,통합,브랜드규정,01_Hanatour_Guidelines_V1.0(통합),"브랜드 가이드라인, 브랜드 규정, 통합 가이드라인, 통합 가이드북, 전체 규정집, 브랜드북, Hanatour Guidelines, 가이드라인 통합본",PDF,https://drive.google.com/file/d/1e-xPuoW03164PiQVt8O24v-LXFK2z7tS/view?usp=sharing
363,브랜드규정_공식인증예약센터,공식인증예약센터,브랜드규정,02_Hanatour_Guidelines_V1.0(공식인증예약센터),"공식인증예약센터 가이드라인, 예약센터 브랜드규정, 공식인증 예약센터, 인증 예약센터 규정, 가이드라인",PDF,https://drive.google.com/file/d/1LfYuglhiakAeKvZb5oRuQb_IhdCEyAUx/view?usp=sharing
364,브랜드규정_글로벌네트워크,글로벌네트워크,브랜드규정,03_Hanatour_Guidelines_V1.0(글로벌네트워크),"글로벌네트워크 가이드라인, 해외 네트워크 브랜드규정, 글로벌 네트워크 규정, 해외지사 가이드라인, 가이드라인",PDF,https://drive.google.com/file/d/1SCmu1FR_VAojDpqNJZtsuhkhaW0Ku1wl/view?usp=sharing
365,브랜드규정_기타,기타,브랜드규정,04_Hanatour_Guidelines_V1.0(기타),"기타 가이드라인, 기타 브랜드규정, 부속 규정집, 기타 규정, 가이드라인",PDF,https://drive.google.com/file/d/1wqSPO3WdNZzxOC4wVL03BdNvygq7dF85/view?usp=sharing
